id,email,password,nickname,gender,age,height,weight,activity_level,activity_goal,avg_distance,total_distance,role
42,sanghyeon58@example.net,0b87284a289eb3e50d60b19878a271b0ac96b3ecbcbdc6754fa5f17bce2ff484,eunjigim,여성,49,156.9,60.0,산책하는 거북이,산책하는 거북이,4.04,44.44,USER
43,eunyeongcoe@example.com,3a7e65432045129bcd5fc53204b5d0e034784511dc39b59616dd78017f244516,bagyeongsu,여성,34,162.7,56.6,산책하는 거북이,산책하는 거북이,3.51,115.83,USER
44,seojieun@example.net,9310831538dd4e7529695f74aaa305d5cf9e6c20a7ac8da500dc582262d7db18,junyeong98,남성,24,185.5,82.6,전광석화 치타,전광석화 치타,13.55,230.35,USER
45,hyeonu96@example.org,aa49a34583b979c464b50feb2168e09fcf0391554e60f78a9ff93e4097a7420d,ryusangceol,여성,63,161.4,56.5,힘찬 질주 말,전광석화 치타,8.38,804.48,USER
46,sinjunseo@example.org,364aec5c69bec55e13cd3e2df7f5e64662bc7f5b74a149c83555df575db1446b,iboram,남성,39,174.2,68.7,산책하는 거북이,산책하는 거북이,4.96,153.76,USER
47,gweonseoyeong@example.com,3e9436d4bd72e8eb93b367e4ce96ff683c0e558dcb1b4a2d9baa6fb87d505c39,gimmijeong,여성,39,162.1,56.8,전광석화 치타,전광석화 치타,14.17,198.38,USER
48,vi@example.org,18b945253e80d52f92854661b11171e1cac65913aa7d6a03c5ef4e4ad5bb8c2b,iyeongsun,남성,21,159.8,68.3,힘찬 질주 말,전광석화 치타,10.16,650.24,USER
49,tbag@example.org,ba43e0ea27ffdeae097bb9b9e26944616dd095a1391800754c4bd3dc3973376b,ihyeonjun,여성,33,160.1,55.3,느긋한 코알라,산책하는 거북이,1.91,127.97,USER
50,munseoyeong@example.net,bd59fc044796f709d84c1fd74597f98a98639073c47a32f90550c6d4184294bd,eunseo18,남성,43,176.1,62.7,전광석화 치타,전광석화 치타,12.65,227.7,USER
51,bagseunghyeon@example.com,489977a6649314edd67a3d994dcfedd6c93012e5dc2b6ce9b601d74387333fa6,cgim,여성,18,158.0,52.4,느긋한 코알라,산책하는 거북이,2.9,29.0,USER
52,eunjeong90@example.com,994632aa5d79b9219c75f576118042707bfe02b2f8a1d3009807d34335a6ffe0,sumin82,여성,56,158.1,60.6,전광석화 치타,전광석화 치타,16.89,1283.64,USER
53,bageunji@example.com,b1f5ae61300adaf10245e0316b539c6e47fad12f3106f7e43403c9e40d6a18bb,ui,여성,43,167.6,53.7,힘찬 질주 말,힘찬 질주 말,8.38,594.98,USER
54,jeongungcoe@example.org,b13334fff1ac035df5e54b9ca48d355991680d45fa8afb6d4a447814d782128c,gwangsu42,여성,22,155.8,55.3,산책하는 거북이,신나는 강아지,3.98,191.04,USER
55,jeonghohwang@example.org,11f424d67c1454b69c28851750aff65525ce8d9d2ae660c84aa1abac3648c04b,iyeongsug,여성,50,172.7,57.8,전광석화 치타,전광석화 치타,19.09,1164.49,USER
56,hyeonjeonggang@example.net,fa607f99908847315d64a2b9b302c7c199ef4ba8ee4e9e0eef16c2b930b25c99,yunjiyeon,남성,27,169.5,71.8,산책하는 거북이,신나는 강아지,4.71,367.38,USER
57,omisug@example.org,0228fc91c79f5d586103a2a3930a79611b57afbc118b5fb008b88cc849a89be4,caeweon52,남성,21,177.0,86.3,힘찬 질주 말,전광석화 치타,10.55,981.15,USER
58,dohyeonheo@example.com,cc1d98559555be23135750053fee3170fc02d24122a0f544680585ab52a8be4b,fgim,여성,29,160.9,57.2,힘찬 질주 말,힘찬 질주 말,9.83,589.8,USER
59,gangseoyeong@example.net,ecb78fd54d92d835cb215c431e7595d151725d9a60875a27bb62a247d942f4e9,yeongceol05,남성,54,181.0,82.6,신나는 강아지,힘찬 질주 말,5.82,122.22,USER
60,iyejin@example.net,e62d67496a2be898f73c6e32bb12141cc38ba4dccdd88838766ba0d74c9809e1,anjiu,남성,63,176.1,62.5,신나는 강아지,힘찬 질주 말,7.05,634.5,USER
61,caeweon86@example.net,c4c83980d1d49e6eaeac362af9cad37b9ba311f35affe9e73d99bb8b70a8f4d0,eunjeong61,여성,25,169.3,62.3,신나는 강아지,신나는 강아지,6.49,434.83,USER
62,ljo@example.net,806c6aef3ec3e6b3e79429fba95a83713018be6469f2267bdbe7c3f38816533d,misug20,남성,62,166.1,75.9,힘찬 질주 말,힘찬 질주 말,11.21,504.45,USER
63,jeonghyijang@example.com,f8e483f5d0fec7a72617666ef4b1902d90c8d6f6c097e6456fb7faef6311d5c1,seomyeongja,여성,54,164.5,72.9,힘찬 질주 말,전광석화 치타,9.0,297.0,USER
64,hbaeg@example.com,061d428270304352c7589d5a7c2dc7b9eb1b2d8767a9dd1c025953b5e356b160,jiu22,남성,49,177.3,84.5,느긋한 코알라,느긋한 코알라,2.63,257.74,USER
65,migyeong13@example.org,69ebc7ef2ee15fd4253db5a8190bef9e0584cca1ef0ffcb48fefb59a84491331,bagyeongsun,남성,58,177.4,75.4,느긋한 코알라,산책하는 거북이,1.95,54.6,USER
66,seojun89@example.org,c6e664a4865767fdbebd00f10cc6ccf8af43831d4440ef768cc44de217ecfb32,bagseongho,남성,53,157.2,49.6,느긋한 코알라,느긋한 코알라,1.64,131.2,USER
67,seonghogang@example.net,9d5f6a9c90cbadb185af2b808ba8ec620b036d370be482300c674f4a602c816a,dgim,여성,31,158.8,57.9,전광석화 치타,전광석화 치타,12.73,267.33,USER
68,jinhobag@example.org,c622121f08ea63545f7d87fa6b48eecd2e17afcd08878f7df2a17495b8115ba3,kgim,남성,38,187.2,91.2,느긋한 코알라,느긋한 코알라,1.64,83.64,USER
69,caeweon53@example.org,aa562295c6fe54793bd5bd4ff2146db128bdfc8d31717c135413830e68f1d232,qgim,여성,56,161.9,64.6,힘찬 질주 말,힘찬 질주 말,11.05,287.3,USER
70,yunseo50@example.com,d1b5f67c40523e2bedca25c0aca86adfa4f086fe7765939c462b86143bef3db2,cbag,남성,55,184.7,70.5,전광석화 치타,전광석화 치타,13.78,248.04,USER
71,gimjeongung@example.com,40cbfc8cb9b8a8753ca0c6205a29c6305c473c4965ef786a16dff16a40b2317e,guseoyun,여성,44,157.2,48.6,신나는 강아지,힘찬 질주 말,6.12,452.88,USER
72,coeyeonghwan@example.net,78d3d4131d450b5282ca2dd1cb4ce7b32e057375927d3c347a3b61065c20ba4f,nbag,여성,34,161.4,69.2,느긋한 코알라,느긋한 코알라,2.63,207.77,USER
73,vmun@example.net,da794e11142612f4beba5881faedbd346c4ccaa58b3f75e17ea8be0c0439596a,yejuni,여성,48,146.0,52.5,산책하는 거북이,신나는 강아지,3.66,278.16,USER
74,eungyeong37@example.com,4c8f3d65e6bc94b44346cbe1cecf4c103c6be04130fb8d4d7ce37135301715b7,igim,남성,30,170.5,67.6,산책하는 거북이,신나는 강아지,3.24,226.8,USER
75,caeweon42@example.org,b7dfeb93a6f79bf7718f351f82bc6f9392d69f5f73f7b7f9ac4e538888f3edf9,ujin01,남성,58,178.9,70.1,느긋한 코알라,느긋한 코알라,2.22,75.48,USER
76,mijeongo@example.org,2928d6e05f4145a6b898a2e0e090c8ce28fab45b3f5af5e46c6e559beb2d67ec,zi,여성,50,166.8,57.8,산책하는 거북이,신나는 강아지,4.96,267.84,USER
77,yeeun05@example.com,a1ae0007828df54ebba863884d38653bf9890b4e9bd2150ae4078ae1e9bc3d7b,ijongsu,남성,64,173.5,84.1,전광석화 치타,전광석화 치타,14.02,392.56,USER
78,minsugim@example.com,27a0b96d17b08ff37f5a00ed0fb520a2598ba9476717a10dd64f42557c7b5091,zgweon,여성,35,165.9,56.0,느긋한 코알라,산책하는 거북이,1.94,19.4,USER
79,yunseojang@example.net,f2957d9d7efa45e714b2231cb6430fc2e31bcc67d3b83f02428e740eb3205994,dsong,남성,20,172.2,74.0,산책하는 거북이,신나는 강아지,4.29,72.93,USER
80,misugbag@example.org,6c5f345746ba6ccc643a1c7268751c465c5016c381a955d15c2b0f1426642e71,eungyeonggweon,여성,45,165.9,54.0,느긋한 코알라,산책하는 거북이,2.98,214.56,USER
81,yi@example.com,a8b09193bc2db6807cb677aef4388ef1a93ad6f5eacb957f1cce6cb0eb9012fb,obag,남성,26,179.7,82.3,전광석화 치타,전광석화 치타,13.07,575.08,USER
82,hyeonjungim@example.org,9a139aca8520df0f31eb4a9c64d0c0a3bf89f03b9681ced8483229f6afecdc9e,myeongjai,남성,23,169.0,78.8,전광석화 치타,전광석화 치타,16.91,1268.25,USER
83,seoyeong53@example.com,257cca050db6452e088211317ee5b3c7112d41a6896428eca388190896d92cf4,junseo87,여성,47,159.6,64.9,느긋한 코알라,느긋한 코알라,2.39,172.08,USER
84,jeonghyii@example.net,44b28b2293d1d0eb73f51389b513ef74b586565f0c7d18edc822cfd4fcb23fd1,gimyunseo,남성,39,171.0,77.9,느긋한 코알라,느긋한 코알라,1.6,16.0,USER
85,gyeonghyimun@example.com,008ca71de79dcd15d661462633b92cea97eef312663d2eb0f37bc6fe52ce3c4e,ugim,남성,65,174.5,73.9,전광석화 치타,전광석화 치타,19.97,1238.14,USER
86,ugweon@example.org,16e733bf1c587ea99a72767796d1bb6eb3c06ddcc6935d98b2c47064817e6441,ubag,남성,54,169.6,74.2,산책하는 거북이,신나는 강아지,3.76,353.44,USER
87,seongho87@example.org,7203fd5d42f34674c80a7e638fc4e248c0c749a4d706deec6b907025e7b9888a,bagjungsu,여성,26,151.8,56.2,산책하는 거북이,신나는 강아지,3.54,169.92,USER
88,bagyejun@example.com,18db31e20591da18179e976e246b4e50b8d7afb1893113e1d928905fb34fc03a,jaehoryu,여성,51,163.2,60.8,신나는 강아지,신나는 강아지,5.92,438.08,USER
89,yunjimin@example.org,f5fbc2aea66adaa8fee806e76193924d1705d3d93eaf9ade586de6cd912d6a3f,donghyeon14,여성,61,166.2,61.4,전광석화 치타,전광석화 치타,16.96,1272.0,USER
90,gimjeonghyi@example.org,cfbbdd587d10d526b04ef6833dff89c956ce56d14688768f2c53c2d744913cdb,gimyeongil,남성,56,174.2,64.0,힘찬 질주 말,전광석화 치타,9.4,855.4,USER
91,ieungyeong@example.net,28840dc37fbc2414003022d7088d263d3512bbe3593f27fe7ab68a45aab4f71c,ogsuni,여성,32,165.3,59.5,느긋한 코알라,산책하는 거북이,2.87,111.93,USER
92,gimhayun@example.com,21a84fdea2c3795719146241e80cecc6f90a64f94ea351afed5e13716280948f,yeongsungim,남성,59,172.0,79.6,전광석화 치타,전광석화 치타,18.37,349.03,USER
93,jaeho72@example.org,11c26cbddd97914385a230822ff9d364a2967e6e8e16489961aa2152d50b9906,jaehojo,여성,34,149.8,50.9,산책하는 거북이,신나는 강아지,3.99,343.14,USER
94,gyeongjagim@example.com,5d2699d74a59bd5fb0f5f3887fa951736e8e2348a5be0dc5714d27e380186332,san,여성,60,159.7,60.3,신나는 강아지,신나는 강아지,6.61,211.52,USER
95,ryueunjeong@example.com,4bd839c68d3fec84fe5265b9a7dcc2a715b4b02488826da8314799b1b849124f,gimyeongceol,남성,33,165.3,62.2,신나는 강아지,힘찬 질주 말,6.42,263.22,USER
96,seongho90@example.net,1c3f517dd4ef14d3b78e3d829c45848c1965102ca58301eb0c2d91d435447460,agim,여성,36,162.9,67.9,산책하는 거북이,신나는 강아지,3.7,114.7,USER
97,gimcunja@example.org,bd1ebe4d3f36e207123170975ed15a499d7e322821229840d496444321b8bcee,minjii,남성,23,172.3,64.3,산책하는 거북이,산책하는 거북이,4.01,216.54,USER
98,oseong@example.com,a7496007190c7da7ef18dcbcbf9d8a82192b4158d64daa890ddfba5223e43490,qgim,남성,26,165.8,57.0,느긋한 코알라,산책하는 거북이,1.62,116.64,USER
99,obag@example.com,c4aa9b4262e3b4b7a6b2940ec6e267517a6ee81516bd1c470b51b7159a60805f,ii,여성,34,165.1,68.1,전광석화 치타,전광석화 치타,19.89,1113.84,USER
100,fi@example.net,971eaf71f8e852ce8b92e28d04253fa52f4d099216e50581bf307030d9e060a0,fbag,남성,39,168.7,62.3,힘찬 질주 말,힘찬 질주 말,10.13,111.43,USER
